"ACCOUNT_NUM","APPRAISAL_YR","SECTION_NUM","SPTD_CD","SPTD_DESC","ZONING","FRONT_DIM","DEPTH_DIM","AREA_SIZE","AREA_UOM_DESC","PRICING_METH_DESC","COST_PER_UOM","MARKET_ADJ_PCT","VAL_AMT","AG_USE_IND","ACCT_AG_VAL_AMT"
"00000295558000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7761.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295615000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7729.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295720000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","192","10902.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295774000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7262.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295792000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7532.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295801000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7476.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295804000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7559.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295810000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7211.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295858000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","50","150","7301.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295873000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7402.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295894000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","50","150","7418.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000296107000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","121",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000296122000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","135",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000296140000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","121",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000296185000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","121",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000296257000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","171","8634.000","SQUARE FEET","FLAT PRICE","75000.00","-.20","60000.00","N","0"
"00000296398000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7604.000","SQUARE FEET","FLAT PRICE","75000.00",".00","75000.00","N","0"
"00000296446000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","171","7882.000","SQUARE FEET","FLAT PRICE","75000.00","-.20","60000.00","N","0"
"00000296482000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","172","8659.000","SQUARE FEET","FLAT PRICE","75000.00",".00","75000.00","N","0"
"00000296686000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","6939.000","SQUARE FEET","FLAT PRICE","75000.00",".00","75000.00","N","0"
"00000296878000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","175","10800.000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000296902000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","150","8448.000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000296929000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","150","8300.000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000297016000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","47","150","7526.000","SQUARE FEET","FLAT PRICE","75000.00",".00","75000.00","N","0"
"00000297034000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7513.000","SQUARE FEET","FLAT PRICE","75000.00",".00","75000.00","N","0"
"00000297085000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","TOWNHOUSE DISTRICT 3","44","131","5710.000","SQUARE FEET","STANDARD","3.00",".00","17130.00","N","0"
"00000297244000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","8195.000","SQUARE FEET","FLAT PRICE","30000.00",".00","30000.00","N","0"
"00000297253000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7245.000","SQUARE FEET","FLAT PRICE","30000.00",".00","30000.00","N","0"
"00000297256000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7096.000","SQUARE FEET","FLAT PRICE","30000.00",".00","30000.00","N","0"
"00000297337000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297361000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297394000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297427000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297463000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297508000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297517000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297547000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297562000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297616000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297640000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297661000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297712000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","53","139",".000","SQUARE FEET","FLAT PRICE","60000.00",".00","60000.00","N","0"
"00000297769000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 5,000 S","65","153","8988.000","SQUARE FEET","FLAT PRICE","35000.00",".00","35000.00","N","0"
"00000297802000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","75","140","10402.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000297805000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","48","138","6673.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000297874000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","133",".000","SQUARE FEET","FLAT PRICE","50000.00","-.25","37500.00","N","0"
"00000297904000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","79","112",".000","UNASSIGNED","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000297919000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","50","200",".000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000297949000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","50","150",".000","SQUARE FEET","FLAT PRICE","50000.00","-.50","25000.00","N","0"
"00000297979000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","125",".000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000298099000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","48","171",".000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000298108000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","48","181",".000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000298114000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","48","171",".000","SQUARE FEET","FLAT PRICE","50000.00",".00","50000.00","N","0"
"00000298210000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","63","145","9061.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000298318000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","145","7890.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000298345000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","140","130","11697.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000298450000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","95","125",".000","UNASSIGNED","FLAT PRICE","40000.00",".00","40000.00","N","0"
"00000298521000100","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","50","139",".000","UNASSIGNED","FLAT PRICE","40000.00",".00","40000.00","N","0"
"00000298576000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","29","110",".000","UNASSIGNED","FLAT PRICE","40000.00","-.90","4000.00","N","0"
"00000298600000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","137",".000","SQUARE FEET","FLAT PRICE","40000.00",".00","40000.00","N","0"
"00000298609450000","2019","1","A13","SFR - CONDOMINIUMS","MULTIFAMILY DISTRICT 2","423","0","512226.000","SQUARE FEET","STANDARD","18.00",".00","97271.72","N","0"
"00000298609750000","2019","1","A13","SFR - CONDOMINIUMS","MULTIFAMILY DISTRICT 2","423","0","512226.000","SQUARE FEET","STANDARD","18.00",".00","97271.72","N","0"
"00000298630500000","2019","1","F10","COMMERCIAL IMPROVEMENTS","COMMERCIAL SERVICE DISTRICT","0","0","156210.000","SQUARE FEET","STANDARD","7.00",".00","1093470.00","N","0"
"00000298718000000","2019","1","C12","COMMERCIAL - VACANT PLOTTED LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","0","0","50050.000","SQUARE FEET","STANDARD","10.00",".00","500500.00","N","0"
"00000298723000100","2019","1","C12","COMMERCIAL - VACANT PLOTTED LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","0","0","3311.000","SQUARE FEET","STANDARD","10.00",".00","33110.00","N","0"
"00000298756000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","5","0","7493.000","SQUARE FEET","STANDARD","10.00",".00","74930.00","N","0"
"00000298891000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","6200.000","SQUARE FEET","STANDARD","10.00",".00","62000.00","N","0"
"00000298927000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","5865.000","SQUARE FEET","STANDARD","10.00",".00","58650.00","N","0"
"00000299029000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","4950.000","SQUARE FEET","STANDARD","10.00",".00","49500.00","N","0"
"00000299080000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8305.000","SQUARE FEET","FLAT PRICE","70000.00",".00","70000.00","N","0"
"00000299200000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","11270.000","SQUARE FEET","STANDARD","10.00","-.20","90160.00","N","0"
"00000299208000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","0","0","13988.000","SQUARE FEET","FLAT PRICE","104910.00",".00","104910.00","N","0"
"00000299227000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","140","6699.000","SQUARE FEET","STANDARD","10.00",".00","66990.00","N","0"
"00000299254000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","SINGLE FAMILY DISTRICT 7,500 S","57","300","6500.000","SQUARE FEET","STANDARD","10.00",".00","65000.00","N","0"
"00000299254000000","2019","2","","UNASSIGNED","SINGLE FAMILY DISTRICT 1 ACRE","0","0","10494.000","SQUARE FEET","STANDARD","8.00",".00","83952.00","N","0"
"00000299314000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","135","300","20250.000","SQUARE FEET","STANDARD","10.00","-.40","121500.00","N","0"
"00000299314000000","2019","2","","UNASSIGNED","SINGLE FAMILY DISTRICT 13,000","0","0","20250.000","SQUARE FEET","STANDARD","10.00","-.40","121500.00","N","0"
"00000299413000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","150","8248.000","SQUARE FEET","STANDARD","10.00",".00","82480.00","N","0"
"00000299428000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","47","150","6449.000","SQUARE FEET","STANDARD","10.00",".00","64490.00","N","0"
"00000299431000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","47","150","6787.000","SQUARE FEET","STANDARD","10.00","-.60","27148.00","N","0"
"00000299437000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7490.000","SQUARE FEET","STANDARD","10.00",".00","74900.00","N","0"
"00000299458000000","2019","1","A11","SINGLE FAMILY RESIDENCES","TOWNHOUSE DISTRICT 3","50","130","6618.000","SQUARE FEET","STANDARD","10.00",".00","66180.00","N","0"
"00000299473000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7376.000","SQUARE FEET","STANDARD","10.00",".00","73760.00","N","0"
"00000181897000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7125.000","SQUARE FEET","STANDARD","14.00",".00","99750.00","N","0"
"00000181918000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7115.000","SQUARE FEET","STANDARD","14.00",".00","99610.00","N","0"
"00000182029000000","2019","1","B11","MFR - APARTMENTS","PLANNED DEVELOPMENT DISTRICT","80","0","14064.000","SQUARE FEET","STANDARD","16.00",".00","225024.00","N","0"
"00000182089000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","144","4823.000","SQUARE FEET","STANDARD","37.00",".00","178451.00","N","0"
"00000182158000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","50","142","7100.000","SQUARE FEET","STANDARD","37.00",".00","262700.00","N","0"
"00000182179000000","2019","1","B11","MFR - APARTMENTS","MULTIFAMILY DISTRICT 2","360","0","50400.000","SQUARE FEET","STANDARD","40.00",".00","2016000.00","N","0"
"00000182275000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","58","141","8178.000","SQUARE FEET","STANDARD","37.00",".00","302586.00","N","0"
"00000182533000000","2019","1","A11","SINGLE FAMILY RESIDENCES","MULTIFAMILY DISTRICT 2","50","144","7200.000","SQUARE FEET","STANDARD","42.00",".00","302400.00","N","0"
"00000182539000000","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","50","139","6950.000","SQUARE FEET","STANDARD","42.00",".00","291900.00","N","0"
"00000182548000100","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","25","144","3600.000","SQUARE FEET","STANDARD","42.00",".00","151200.00","N","0"
"00000182605000000","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","50","114","5700.000","SQUARE FEET","STANDARD","42.00",".00","239400.00","N","0"
"00000182698000000","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","50","145","7250.000","SQUARE FEET","STANDARD","42.00",".00","304500.00","N","0"
"00000182719000000","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","50","145","7250.000","SQUARE FEET","STANDARD","42.00",".00","304500.00","N","0"
"00000182749000000","2019","1","B12","MFR - DUPLEXES","MULTIFAMILY DISTRICT 2","50","113","5650.000","SQUARE FEET","STANDARD","42.00",".00","237300.00","N","0"
"00000182857000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","MULTIFAMILY DISTRICT 2","48","100","4356.000","SQUARE FEET","STANDARD","42.00",".00","182952.00","N","0"
"00000182863000000","2019","1","C11","SFR - VACANT LOTS/TRACTS","MULTIFAMILY DISTRICT 2","50","109","5662.000","SQUARE FEET","STANDARD","42.00",".00","237804.00","N","0"
"00000182935000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","65","141","9165.000","SQUARE FEET","STANDARD","37.00",".00","339105.00","N","0"
"00000182962000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","48","141","6768.000","SQUARE FEET","STANDARD","37.00",".00","250416.00","N","0"
"00000183022000000","2019","1","B11","MFR - APARTMENTS","PLANNED DEVELOPMENT DISTRICT","60","0","14628.000","SQUARE FEET","STANDARD","16.00",".00","234048.00","N","0"
"00000183085000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","80","253","20240.000","SQUARE FEET","STANDARD","15.00",".00","303600.00","N","0"
"00000183100000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","0","0","18730.000","SQUARE FEET","STANDARD","15.00",".00","280950.00","N","0"
"00000183163000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","143","7521.000","SQUARE FEET","STANDARD","14.00",".00","105294.00","N","0"
"00000183274000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","143","8444.000","SQUARE FEET","STANDARD","14.00",".00","118216.00","N","0"
"00000183277000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","76","143","11281.000","SQUARE FEET","STANDARD","14.00",".00","157934.00","N","0"
"00000183292000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","57","143","8321.000","SQUARE FEET","STANDARD","14.00",".00","116494.00","N","0"
"00000183325000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","143","8268.000","SQUARE FEET","STANDARD","14.00",".00","115752.00","N","0"
"00000183328000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","143","8157.000","SQUARE FEET","STANDARD","14.00",".00","114198.00","N","0"
"00000183358000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","55","143","7854.000","SQUARE FEET","STANDARD","14.00",".00","109956.00","N","0"
"00000183364000000","2019","1","A11","SINGLE FAMILY RESIDENCES","PLANNED DEVELOPMENT DISTRICT","80","176","14000.000","SQUARE FEET","STANDARD","16.00",".00","224000.00","N","0"
"00000183412000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","7398.000","SQUARE FEET","STANDARD","40.00",".00","295904.00","N","0"
"00000183415000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","7566.000","SQUARE FEET","STANDARD","40.00",".00","302640.00","N","0"
"00000183508000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","7370.000","SQUARE FEET","STANDARD","40.00",".00","294796.00","N","0"
"00000183547000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8224.000","SQUARE FEET","STANDARD","40.00",".00","328960.00","N","0"
"00000183586000000","2019","1","B11","MFR - APARTMENTS","SINGLE FAMILY DISTRICT 7,500 S","53","0","9275.000","SQUARE FEET","STANDARD","16.00",".00","148400.00","N","0"
"00000183598000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8464.000","SQUARE FEET","STANDARD","40.00",".00","338560.00","N","0"
"00000183709000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","14807.000","SQUARE FEET","STANDARD","40.00",".00","592280.00","N","0"
"00000183781000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","9001.000","SQUARE FEET","STANDARD","40.00",".00","360040.00","N","0"
"00000183817000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","9070.000","SQUARE FEET","STANDARD","40.00",".00","362792.00","N","0"
"00000183871000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8625.000","SQUARE FEET","STANDARD","40.00",".00","345000.00","N","0"
"00000184060000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8057.000","SQUARE FEET","STANDARD","40.00",".00","322280.00","N","0"
"00000184111000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8935.000","SQUARE FEET","STANDARD","40.00","-.05","339526.00","N","0"
"00000184168000000","2019","1","B12","MFR - DUPLEXES","SINGLE FAMILY DISTRICT 7,500 S","0","0","7680.000","SQUARE FEET","STANDARD","40.00",".00","307200.00","N","0"
"00000184252000000","2019","1","B11","MFR - APARTMENTS","SINGLE FAMILY DISTRICT 7,500 S","0","0","8291.000","SQUARE FEET","STANDARD","40.00",".00","331640.00","N","0"
"00000184435000000","2019","1","B12","MFR - DUPLEXES","SINGLE FAMILY DISTRICT 7,500 S","0","0","8795.000","SQUARE FEET","STANDARD","40.00",".00","351800.00","N","0"
"00000184498000000","2019","1","F10","COMMERCIAL IMPROVEMENTS","COMMUNITY RETAIL DISTRICT","224","0","60948.000","SQUARE FEET","STANDARD","35.00",".00","2133180.00","N","0"
