"TAX_OBJ_ID","ACCOUNT_NUM","APPRAISAL_YR","BLDG_CLASS_DESC","YEAR_BUILT","REMODEL_YR","GROSS_BLDG_AREA","FOUNDATION_TYP_DESC","FOUNDATION_AREA","BASEMENT_DESC","BASEMENT_AREA","NUM_STORIES","CONSTR_TYP_DESC","HEATING_TYP_DESC","AC_TYP_DESC","NUM_UNITS","NET_LEASE_AREA","PROPERTY_NAME","PROPERTY_QUAL_DESC","PROPERTY_COND_DESC","PHYS_DEPR_PCT","FUNCT_DEPR_PCT","EXTRNL_DEPR_PCT","TOT_DEPR_PCT","IMP_VAL","LAND_VAL","MKT_VAL","APPR_METHOD_DESC","COMPARABILITY_CD","PCT_COMPLETE"
"320525100A0010000","320525100A0010000","2019","CHURCH BUILDING","1988","1988","9454","CONCRETE SLAB","9454","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","9454","GLOBAL MISSION CHURCH","AVERAGE","GOOD","60.00",".00","15.00","75.00","","","","COST","B CLASS","100.00"
"000780000A01ATE04","000780000A01ATE00","2019","MEDICAL OFFICE BUILDING","1984","1984","85781","CONCRETE SLAB","37178","UNASSIGNED","0","17","A-STRUCTURAL STEEL FRAME","CENTRAL HEAT","CENTRAL A/C","0","0","BAYLOR CANCER HOSPITAL","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","COST","B CLASS","100.00"
"320455100A0010000","320455100A0010000","2019","STORAGE WAREHOUSE","1982","1982","11100","CONCRETE SLAB","11100","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","11100","DAVIS CRANE SERVICE","AVERAGE","GOOD","50.00",".00",".00","50.00","","","","INCOME","B CLASS","100.00"
"000803200022A0000","000803200022A0000","2019","STORAGE WAREHOUSE","1986","1986","6600","CONCRETE SLAB","6600","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","4","6600","PALETERIA LA FABULOSA/ROBERT SMITH S BINDERY","AVERAGE","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"32035500000170000","32035500000170000","2019","CHURCH BUILDING","1982","1982","5700","CONCRETE SLAB","5700","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","5700","CHRIST APOSTOLIC CHURCH","AVERAGE","GOOD","35.00",".00",".00","35.00","","","","COST","B CLASS","100.00"
"00840200000020000","00840200000020000","2019","CHURCH BUILDING","1984","1984","100","CONCRETE SLAB","100","NONE","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","100","ST RITA CATHOLIC COMMUNITY SCHOOL","AVERAGE","GOOD","25.00",".00",".00","25.00","","","","COST","B CLASS","100.00"
"00000483115000002","00000483115000000","2019","CHURCH BUILDING","1980","1980","9800","CONCRETE SLAB","9800","NONE","0","1","S-PRE-ENGINEERED STEEL BLDGS","CENTRAL HEAT","CENTRAL A/C","0","0","REC BLDG","AVERAGE","GOOD","60.00",".00",".00","60.00","","","","COST","B CLASS","100.00"
"320457200A0010000","320457200A0010000","2019","STORAGE WAREHOUSE","1989","1989","19200","CONCRETE SLAB","19200","NONE","0","1","S-PRE-ENGINEERED STEEL BLDGS","CENTRAL HEAT","CENTRAL A/C","0","19200","BLDRS GYPSUM SUPPLY CO INC","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"000780000A01A9900","000780000A01A9900","2019","MEDICAL OFFICE BUILDING","1986","1986","94575","CONCRETE SLAB","13200","NONE","0","7","B-REINFORCED CONCRETE FRAME","CENTRAL HEAT","CENTRAL A/C","0","66425","SAMMONS TOWER-CARR COLLINS HOSPITAL","AVERAGE","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"0083810A000019900","0083810A000019900","2019","DISTRIBUTION WAREHOUSE","1982","1982","22377","CONCRETE SLAB","22377","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","22377","INSTITUTE FOR CREATION-IMPS ONLY","AVERAGE","GOOD","50.00",".00",".00","50.00","","","","COST","B CLASS","100.00"
"00066100000040000","00066100000040000","2019","OFFICE BUILDING","1989","1989","17837","CONCRETE SLAB","17837","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","17130","DALLAS SERVICES FOR VISUALLY IMPAIRED CHILDREN","GOOD","GOOD","25.00",".00",".00","25.00","","","","INCOME","B CLASS","100.00"
"000777000A04A0000","000777000A04A0000","2019","OFFICE BUILDING","1982","1982","26712","CONCRETE SLAB","13356","NONE","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","22192","3910  GASTON AVE","GOOD","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"0084090B000040000","0084090B000040000","2019","RETAIL STRIP","1984","2000","37733","CONCRETE SLAB","37733","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","38841","HIGHPOINT VILLAGE","GOOD","GOOD","20.00",".00",".00","20.00","","","","INCOME","B CLASS","100.00"
"0084010A0002A0100","0084010A0002A0100","2019","OFFICE BUILDING","1983","1983","22754","CONCRETE SLAB","11377","NONE","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","22381","12342 INWOOD","GOOD","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"320638300H08R0000","320638300H08R0000","2019","STORAGE WAREHOUSE","1986","1986","36936","CONCRETE SLAB","36936","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","36936","MCCORMICK","GOOD","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"320641000L05R0000","320641000L05R0000","2019","STORAGE WAREHOUSE","1983","1983","18306","CONCRETE SLAB","18306","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","18306","CARPET SERVICES INC","GOOD","GOOD","50.00",".00",".00","50.00","","","","INCOME","B CLASS","100.00"
"320642100A0010000","320642100A0010000","2019","STORAGE WAREHOUSE","1994","1994","63468","CONCRETE SLAB","64601","NONE","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","77615","SAMUEL SON AND CO","GOOD","GOOD","25.00",".00",".00","25.00","","","","INCOME","B CLASS","100.00"
"32063770080070000","32063770080070000","2019","STORAGE WAREHOUSE","1980","1980","24000","PIERS","24000","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","24056","USSERY PRINTING CO","GOOD","GOOD","55.00",".00",".00","55.00","","","","INCOME","B CLASS","100.00"
"0083580B000000000","0083580B000000000","2019","OFFICE/SHOWROOM","1985","1985","39168","CONCRETE SLAB","39168","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","75459","TECHNICAL IND BUS PARK PHASE II","GOOD","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"0083580B000000001","0083580B000000000","2019","OFFICE/SHOWROOM","1985","1985","36152","CONCRETE SLAB","36152","UNASSIGNED","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","TECHNICAL IND BUS PARK PHASE II","GOOD","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"320637500D01R0001","320637500D01R0000","2019","STORAGE WAREHOUSE","1990","1990","31500","CONCRETE SLAB","31500","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","DELTA STEEL TECHNOLOGIES","AVERAGE","GOOD","30.00",".00",".00","30.00","","","","INCOME","B CLASS","100.00"
"320641100L0070000","320641100L0070000","2019","STORAGE WAREHOUSE","1980","1980","40640","CONCRETE SLAB","40640","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","56840","ELECTRICAL DISTRIBUTORS","AVERAGE","GOOD","55.00",".00",".00","55.00","","","","INCOME","B CLASS","100.00"
"320389600A0010000","320389600A0010000","2019","OFFICE/SHOWROOM","1984","1984","9350","CONCRETE SLAB","9350","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","9350","V DUB FOLKS / HENRYS BARBER SHOP","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"320638400L03R0000","320638400L03R0000","2019","STORAGE WAREHOUSE","1980","1980","39128","PIERS","39128","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","39128","US PLATING","AVERAGE","GOOD","55.00","10.00",".00","65.00","","","","INCOME","B CLASS","100.00"
"008381000A01A0000","008381000A01A0000","2019","OFFICE/SHOWROOM","1982","1982","12000","CONCRETE SLAB","12000","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","31835","INSTITUTE FOR CREATION RESEARCH","AVERAGE","GOOD","67.00",".00",".00","67.00","","","","COST","B CLASS","100.00"
"0083820B0001A0000","0083820B0001A0000","2019","OFFICE/SHOWROOM","1984","1984","25680","CONCRETE SLAB","25680","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","25680","ROYAL CENTRE","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"0084090B000020001","0084090B000020000","2019","OFFICE BUILDING","1986","1986","7173","CONCRETE SLAB","4575","NONE","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","0","REFLECTIONS OF HIGHPOINT","AVERAGE","GOOD","40.00",".00",".00","40.00","","","","COST","B CLASS","100.00"
"00000502624000100","00000502624000100","2019","FAST FOOD RESTAURANT","1989","1989","8524","CONCRETE SLAB","4262","NONE","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","8524","UNOCCUPIED","AVERAGE","GOOD","70.00",".00",".00","70.00","","","","COST","B CLASS","100.00"
"00000498862000011","00000498862000000","2019","SPECIAL","1987","1987","1620","CONCRETE SLAB","1620","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","0","GOLF CLUB OF DALLAS","AVERAGE","GOOD","",".00",".00","","","","","COST","B CLASS","100.00"
"320701500A0010000","320701500A0010000","2019","CHURCH BUILDING","1960","1960","13200","CONCRETE SLAB","10750","NONE","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","38238","KINGS CHAPEL/ CAPILLA DEL RAY","AVERAGE","GOOD","",".00",".00","","","","","COST","B CLASS","100.00"
"0084440B000010000","0084440B000010000","2019","BANK","1989","2000","10729","CONCRETE SLAB","10729","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","10700","COMERICA BANK","AVERAGE","GOOD","10.00",".00",".00","10.00","","","","COST","B CLASS","100.00"
"00000497815000000","00000497815000000","2019","CHURCH BUILDING","1980","1980","2376","CONCRETE SLAB","2376","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","2376","GREATER FELLOWSHIP COGIC","GOOD","GOOD","45.00",".00",".00","45.00","","","","COST","B CLASS","100.00"
"00000490183000000","00000490183000000","2019","GOVERNMENTAL BUILDING","1980","1990","5000","CONCRETE SLAB","5000","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","5000","HISPANIC CONTRACTORS ASSOC","GOOD","GOOD","25.00",".00",".00","25.00","","","","COST","B CLASS","100.00"
"32076000000290000","32076000000290000","2019","OFFICE BUILDING","1981","1981","9520","PIERS","4760","UNASSIGNED","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","8781","UNITED SPORTING CO/CLOUDLOGIX","GOOD","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"32063550020020000","32063550020020000","2019","OFFICE BUILDING","1982","1982","77556","CONCRETE SLAB","25852","UNASSIGNED","0","3","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","76500","UNOCCUPIED","GOOD","GOOD","40.00",".00",".00","40.00","","","","INCOME","B CLASS","100.00"
"32075750510010000","32075750510010000","2019","OFFICE BUILDING","1981","2001","4800","CONCRETE SLAB","4800","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","4800","RIYA TRAVELS","GOOD","GOOD","10.00",".00",".00","10.00","","","","INCOME","B CLASS","100.00"
"320554100A02R0001","320554100A02R0000","2019","AUTOMOTIVE SERVICE","1997","1997","23498","CONCRETE SLAB","23498","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","CLAY COOLEY AUTOMOTIVE","GOOD","GOOD","31.00",".00",".00","31.00","","","","COST","B CLASS","100.00"
"0008120C0001A9902","0008120C0001A9900","2019","FAST FOOD RESTAURANT","1988","1988","26250","CONCRETE SLAB","26250","UNASSIGNED","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","SMIRNOFF STARPLEX","GOOD","GOOD","70.00",".00",".00","70.00","","","","COST","B CLASS","100.00"
"00837900010020000","00837900010020000","2019","STORAGE WAREHOUSE","1984","1984","8250","CONCRETE SLAB","7875","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","8250","SITELINE","GOOD","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"00837900010040000","00837900010040000","2019","STORAGE WAREHOUSE","1984","1984","3765","CONCRETE SLAB","4125","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","3765","SITELINE INSULATED GLASS CO","GOOD","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"008411000005B0000","008411000005B0000","2019","OFFICE BUILDING","1982","1982","24703","CONCRETE BEAM","24703","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","73252","FOREST GREEN BUSINESS PARK BLDG C","AVERAGE","GOOD","46.00",".00",".00","46.00","","","","INCOME","B CLASS","100.00"
"008416000M03A0000","008416000M03A0000","2019","OFFICE BUILDING","1979","1992","43498","PIERS","43498","UNASSIGNED","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","38794","TEXAS HEALTH RESOURCES","AVERAGE","GOOD","23.00",".00",".00","23.00","","","","COST","B CLASS","100.00"
"320516500A0010000","320516500A0010000","2019","DISTRIBUTION WAREHOUSE","1982","1982","61500","PIERS","61500","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","60943","TEXAS AIRSYSTEMS","AVERAGE","GOOD","50.00",".00",".00","50.00","","","","INCOME","B CLASS","100.00"
"320701500A0010002","320701500A0010000","2019","CHURCH BUILDING","1980","1980","11174","CONCRETE SLAB","11174","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","KINGS CHAPEL-SANCTUARY","AVERAGE","GOOD","25.00",".00",".00","25.00","","","","COST","B CLASS","100.00"
"320641500A0010000","320641500A0010000","2019","OFFICE BUILDING","1984","1984","10200","CONCRETE SLAB","10200","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","10200","HARVEY DACCO MARKETING","AVERAGE","GOOD","35.00",".00",".00","35.00","","","","INCOME","B CLASS","100.00"
"32076000000010300","32076000000010300","2019","OFFICE BUILDING","1987","1987","33489","CONCRETE SLAB","15236","NONE","0","2","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","29816","SPIREON","AVERAGE","GOOD","30.00",".00",".00","30.00","","","","INCOME","B CLASS","100.00"
"0083800A000010000","0083800A000010000","2019","STORAGE WAREHOUSE","1985","1985","9581","CONCRETE SLAB","9581","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","20000","LAWN CARE SUPPLY/ HJ","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"0083800A000010001","0083800A000010000","2019","STORAGE WAREHOUSE","1985","1985","10787","CONCRETE SLAB","10787","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","WRECKER PARTS GALORE/LATHAM STAIRS & MILLWORK","AVERAGE","GOOD","45.00",".00",".00","45.00","","","","INCOME","B CLASS","100.00"
"008404000A01A0002","008404000A01A0000","2019","STORAGE WAREHOUSE","1980","1980","20785","CONCRETE SLAB","20785","UNASSIGNED","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","0","TEXAS INSTRUMENTS PHASES 1 2   3","AVERAGE","GOOD","55.00",".00",".00","55.00","","","","COST","B CLASS","100.00"
"00000490234700000","00000490234700000","2019","FREE STANDING RETAIL STORE","1950","2008","1740","CONCRETE SLAB","1740","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","1740","SPEEDY CASH","AVERAGE","GOOD","5.00",".00",".00","5.00","","","","INCOME","B CLASS","100.00"
"008414000124A0000","008414000124A0000","2019","MINI-WAREHOUSE","1988","1988","55805","CONCRETE SLAB","24000","UNASSIGNED","0","3","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","771","78805","PUBLIC STORAGE","GOOD","GOOD","45.00",".00",".00","45.00","","","","COST","B CLASS","100.00"
"32064200000100000","32064200000100000","2019","OFFICE/SHOWROOM","1994","1994","7056","CONCRETE SLAB","7056","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","7056","AMBER ELECTRICAL CONTRACTORS","GOOD","GOOD","25.00",".00",".00","25.00","","","","INCOME","B CLASS","100.00"
"320707900A0010000","320707900A0010000","2019","OFFICE BUILDING","1983","1983","8569","CONCRETE SLAB","8569","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","8569","MULTI TENANT","GOOD","GOOD","50.00",".00",".00","50.00","","","","INCOME","B CLASS","100.00"
"0084720A000020000","0084720A000020000","2019","FAST FOOD RESTAURANT","1985","1985","2322","CONCRETE SLAB","2322","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","2322","TACO BELL","GOOD","GOOD","70.00",".00",".00","70.00","","","","COST","B CLASS","100.00"
"0084720A000040000","0084720A000040000","2019","FAST FOOD RESTAURANT","1986","1986","3032","CONCRETE SLAB","3032","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","1","3032","KFC","GOOD","GOOD","80.00",".00",".00","80.00","","","","COST","B CLASS","100.00"
"320684500A0010100","320684500A0010100","2019","STORAGE WAREHOUSE","1985","1985","11904","CONCRETE SLAB","11904","UNASSIGNED","0","1","S-PRE-ENGINEERED STEEL BLDGS","CENTRAL HEAT","CENTRAL A/C","0","11904","CHEMOLEE SHIPPING REC","GOOD","GOOD","",".00",".00","","","","","INCOME","B CLASS","100.00"
"320705000A0010001","320705000A0010000","2019","OFFICE BUILDING","2002","2002","5330","CONCRETE SLAB","5330","NONE","0","1","S-PRE-ENGINEERED STEEL BLDGS","CENTRAL HEAT","CENTRAL A/C","0","0","INLAND TRUCK PARTS","GOOD","GOOD","15.00",".00",".00","15.00","","","","INCOME","B CLASS","100.00"
"00000474979000000","00000474979000000","2019","CHURCH BUILDING","1982","1982","14050","CONCRETE SLAB","100","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","14050","FAITH TEMPLE","AVERAGE","AVERAGE","55.00",".00",".00","55.00","","","","COST","B CLASS","100.00"
"00000491356000000","00000491356000000","2019","APARTMENT (BRICK EXTERIOR)","1963","1963","68574","CONCRETE SLAB","34287","UNASSIGNED","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","78","69682","SPRING RIDGE PH II TAX CREDIT-TXA19950365","AVERAGE","AVERAGE","",".00",".00","","","","","INCOME","TAX CREDIT APT","100.00"
"00000480484000000","00000480484000000","2019","CHURCH BUILDING","1980","1980","6415","CONCRETE SLAB","6415","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","6415","HOPE OF GLORY","AVERAGE","AVERAGE","60.00",".00",".00","60.00","","","","INCOME","B CLASS","100.00"
"00000480722000000","00000480722000000","2019","CHURCH BUILDING","1984","1984","1920","CONCRETE SLAB","1920","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","1920","DELIVERANCE TABERNACLE","AVERAGE","AVERAGE","50.00",".00",".00","50.00","","","","COST","B CLASS","100.00"
"00000483613000000","00000483613000000","2019","CHURCH BUILDING","1982","1982","3580","CONCRETE SLAB","3580","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","3580","OPEN DOOR CHURCH","AVERAGE","AVERAGE","55.00",".00",".00","55.00","","","","COST","B CLASS","100.00"
"00000480541000000","00000480541000000","2019","RETAIL STRIP","1966","1966","1703","CONCRETE SLAB","1703","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","2311","QT FOOD MART/ON THE LOW","AVERAGE","AVERAGE","",".00",".00","","","","","INCOME","B CLASS","100.00"
"00000465682000000","00000465682000000","2019","RETAIL STRIP","1964","1964","9000","PIERS","9000","UNASSIGNED","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","9000","PIZZA PATRON/T MOBILE/WOW DENTAL/JACKSON HEWITT","AVERAGE","AVERAGE","",".00",".00","","","","","INCOME","B CLASS","100.00"
"00000483130100000","00000483130100000","2019","RETAIL STRIP","1973","1973","8975","CONCRETE BEAM","8975","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","8975","METRO PCS","AVERAGE","AVERAGE","80.00",".00",".00","80.00","","","","INCOME","B CLASS","100.00"
"00000482674000000","00000482674000000","2019","FAST FOOD RESTAURANT","1985","1985","1172","CONCRETE BEAM","1172","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","1172","CATFISH FLOYDS","AVERAGE","AVERAGE","65.00",".00",".00","65.00","","","","COST","B CLASS","100.00"
"320701600A0010000","320701600A0010000","2019","CHURCH BUILDING","1980","1980","4050","CONCRETE SLAB","4050","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","6450","DALLAS BRETHERN ASSEMBLY","AVERAGE","AVERAGE","60.00",".00",".00","60.00","","","","COST","B CLASS","100.00"
"00000498211000000","00000498211000000","2019","CHURCH BUILDING","1984","1984","10500","CONCRETE SLAB","10500","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","1","10500","CORNERSTONE BAPTIST CHURCH","AVERAGE","AVERAGE","50.00",".00",".00","50.00","","","","COST","B CLASS","100.00"
