"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","BLDG_CLASS_DESC","YR_BUILT","EFF_YR_BUILT","ACT_AGE","DESIRABILITY_RATING","TOT_MAIN_SF","TOT_LIVING_AREA_SF","PCT_COMPLETE","NUM_STORIES_DESC","CONSTR_FRAM_TYP_DESC","FOUNDATION_TYP_DESC","HEATING_TYP_DESC","AC_TYP_DESC","FENCE_TYP_DESC","EXT_WALL_DESC","BASEMENT_DESC","ROOF_TYP_DESC","ROOF_MAT_DESC","NUM_FIREPLACES","NUM_KITCHENS","NUM_FULL_BATHS","NUM_HALF_BATHS","NUM_WET_BARS","NUM_BEDROOMS","SPRINKLER_SYS_IND","DECK_IND","SPA_IND","POOL_IND","SAUNA_IND","MBL_HOME_SER_NUM","MBL_HOME_MANUFCTR","MBL_HOME_LENGTH","MBL_HOME_WIDTH","MBL_HOME_SPACE","DEPRECIATION_PCT"
"00000125140000000","2019","00000125140000000","04","1910","1910","109","FAIR","1374","1374","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","3","N","N","N","N","N","","","0","0","     ","60.00"
"00000121486000000","2019","00000121486000000","03","1913","1913","106","FAIR","1579","1579","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","ASBESTOS SHINGLES","NONE","HIP","COMP SHINGLES","1","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000119746000000","2019","00000119746000000","03","1926","1926","93","POOR","2356","2356","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","0","2","3","0","0","4","N","N","N","N","N","","","0","0","     ","70.00"
"00000120859000000","2019","00000120859000000","06","1906","1906","113","GOOD","2569","2569","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","45.00"
"00000125161000000","2019","00000125161000000","04","1910","1910","109","FAIR","2616","2616","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","2","1","3","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000110131000000","2019","00000110131000000","04","1927","1927","92","FAIR","2520","2520","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","0","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000121306000000","2019","00000121306000000","03","1926","1926","93","FAIR","1578","1578","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","GABLE","COMP SHINGLES","0","1","2","0","0","1","N","N","N","N","N","","","0","0","     ","60.00"
"00000122995000200","2019","00000122995000200","03","1925","1925","94","FAIR","1332","1332","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","2","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000119524000000","2019","00000119524000000","04","1923","1923","96","POOR","708","708","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000125488000000","2019","00000125488000000","14","1999","1999","20","GOOD","1201","1201","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","2","0","0","3","N","N","N","N","N","","","0","0","     ","25.00"
"00000118921000000","2019","00000118921000000","04","1917","1917","102","POOR","773","773","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000118726000100","2019","00000118726000100","18","2015","2015","4","EXCELLENT","2272","2272","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","STUCCO","NONE","FLAT","COMP ROLL","0","1","2","1","0","2","Y","N","N","N","N","","","0","0","     ","3.00"
"00000115900000100","2019","00000115900000100","04","1930","1930","89","FAIR","948","948","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","2","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000123940000000","2019","00000123940000000","04","1915","1915","104","FAIR","1036","1036","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121408000000","2019","00000121408000000","04","1922","1922","97","FAIR","1644","1644","100.00","ONE STORY","FRAME","BLOCK","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","2","1","0","3","N","N","N","N","N","","","0","0","     ","60.00"
"00000121435000000","2019","00000121435000000","04","1913","1913","106","FAIR","888","888","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","STUCCO","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121813000000","2019","00000121813000000","04","1916","1916","103","AVERAGE","2284","2284","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","1","0","3","N","N","N","N","N","","","0","0","     ","50.00"
"00000119626000000","2019","00000119626000000","04","1923","1970","96","AVERAGE","1428","1428","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","2","0","0","2","N","N","N","N","N","","","0","0","     ","45.00"
"00000122176000000","2019","00000122176000000","04","1918","1918","101","AVERAGE","1092","1092","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","50.00"
"00000123277000000","2019","00000123277000000","04","1953","1953","66","AVERAGE","816","816","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","50.00"
"00000115765000000","2019","00000115765000000","04","1993","1993","26","AVERAGE","1046","1046","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","ALUMINIUM","NONE","HIP","COMP SHINGLES","0","1","1","0","0","3","N","N","N","N","N","","","0","0","     ","35.00"
"00000122017000000","2019","00000122017000000","04","1931","1931","88","AVERAGE","1738","1738","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","2","0","0","3","N","N","N","N","N","","","0","0","     ","50.00"
"00000120091000000","2019","00000120091000000","14","2001","2001","18","AVERAGE","1889","1889","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","HIP","COMP SHINGLES","1","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","25.00"
"00000120094000000","2019","00000120094000000","14","1998","1998","21","AVERAGE","2155","2155","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","1","2","1","0","3","N","N","N","N","N","","","0","0","     ","30.00"
"00000121462000000","2019","00000121462000000","14","2001","2001","18","GOOD","2400","2400","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","2","2","0","0","6","N","N","N","N","N","","","0","0","     ","20.00"
"00000120886000000","2019","00000120886000000","06","1904","1904","115","GOOD","2240","2240","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","45.00"
"00000125185000000","2019","00000125185000000","04","1913","2000","106","GOOD","1194","1194","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","1","0","3","N","N","N","N","N","","","0","0","     ","25.00"
"00000123220000000","2019","00000123220000000","04","1923","1923","96","AVERAGE","1161","1161","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","2","0","0","2","N","N","N","N","N","","","0","0","     ","50.00"
"00000118525000000","2019","00000118525000000","04","1946","1946","73","AVERAGE","1110","1110","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","50.00"
"00000123133000000","2019","00000123133000000","04","1914","1914","105","AVERAGE","3685","3685","100.00","TWO AND ONE HALF STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","2","1","4","0","0","5","N","Y","N","N","N","","","0","0","     ","50.00"
"00000123949000000","2019","00000123949000000","03","1910","1910","109","FAIR","1908","1908","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","2","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000121453000000","2019","00000121453000000","04","1913","1913","106","FAIR","864","864","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121507000000","2019","00000121507000000","04","1913","1913","106","FAIR","1032","1032","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121669000000","2019","00000121669000000","03","1920","1920","99","GOOD","2048","2048","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","2","2","0","0","4","N","N","N","N","N","","","0","0","     ","45.00"
"00000120655000000","2019","00000120655000000","06","1912","2000","107","GOOD","2258","2258","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","25.00"
"00000115747000000","2019","00000115747000000","15","1950","1950","69","POOR","2332","2332","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","HIP","COMP SHINGLES","1","1","2","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000125215000000","2019","00000125215000000","06","1912","1912","107","FAIR","2746","2746","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","3","0","0","3","N","Y","N","N","N","","","0","0","     ","60.00"
"00000136243600000","2019","00000136243600000","CONDOMINIUM","1980","1980","39","GOOD","1306","1306","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","2","1","2","1","0","2","N","N","N","N","N","","","0","0","     ","25.00"
"00000126043000000","2019","00000126043000000","03","1914","1914","105","FAIR","2968","2968","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","ASBESTOS SHINGLES","NONE","GABLE","COMP SHINGLES","2","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000124747000000","2019","00000124747000000","04","1903","1903","116","FAIR","2434","2434","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","1","1","2","0","0","4","N","N","N","Y","N","","","0","0","     ","60.00"
"00000121231000000","2019","00000121231000000","03","1913","1913","106","FAIR","3804","3804","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","2","2","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000125404000000","2019","00000125404000000","03","1941","1941","78","FAIR","2816","2816","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","HIP","COMP SHINGLES","0","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000139201380000","2019","00000139201380000","CONDOMINIUM","1957","1957","62","GOOD","2497","2497","100.00","ONE STORY","METAL","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","FULL","FLAT","TAR AND GRAVEL","0","1","3","0","0","3","Y","N","N","N","N","","","0","0","     ","40.00"
"00000139201600000","2019","00000139201600000","CONDOMINIUM","1957","1957","62","GOOD","2014","2014","100.00","ONE STORY","METAL","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","FULL","FLAT","TAR AND GRAVEL","0","1","1","0","0","2","Y","N","N","N","N","","","0","0","     ","40.00"
"00000139203000100","2019","00000139203000100","CONDOMINIUM","1957","1957","62","GOOD","2085","2085","100.00","ONE STORY","METAL","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","FULL","FLAT","TAR AND GRAVEL","0","1","2","0","0","2","Y","N","N","N","N","","","0","0","     ","40.00"
"00000139345520000","2019","00000139345520000","CONDOMINIUM","1964","1964","55","GOOD","1307","1307","100.00","ONE STORY","METAL","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","FULL","FLAT","TAR AND GRAVEL","0","1","2","0","0","0","Y","Y","N","N","N","","","0","0","     ","35.00"
"00000139201240000","2019","00000139201240000","CONDOMINIUM","1957","1957","62","GOOD","4511","4511","100.00","ONE STORY","METAL","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","FULL","FLAT","TAR AND GRAVEL","0","1","3","0","0","3","Y","N","N","N","N","","","0","0","     ","40.00"
"00000125350000000","2019","00000125350000000","04","1920","2000","99","FAIR","1900","1900","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","CONCRETE FIBERBOARD","NONE","HIP","COMP SHINGLES","0","1","2","0","0","3","N","Y","N","N","N","","","0","0","     ","35.00"
"00000125218000000","2019","00000125218000000","03","1912","1912","107","FAIR","3220","3220","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","ALUMINIUM","NONE","GABLE","COMP SHINGLES","0","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000125245000000","2019","00000125245000000","13","1960","2010","59","VERY GOOD","3220","3220","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","10.00"
"00000125965000000","2019","00000125965000000","13","1927","1927","92","FAIR","4626","4626","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","HIP","COMP SHINGLES","2","4","4","4","0","8","N","N","N","N","N","","","0","0","     ","60.00"
"00000126002000000","2019","00000126002000000","13","1910","1910","109","FAIR","4560","4560","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","GABLE","COMP SHINGLES","0","4","8","0","0","8","N","N","N","N","N","","","0","0","     ","60.00"
"00000124570000000","2019","00000124570000000","10","1924","1924","95","FAIR","3342","3470","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","GABLE","COMP SHINGLES","2","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000121444000000","2019","00000121444000000","04","1913","1913","106","FAIR","867","867","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000118732000000","2019","00000118732000000","04","1936","1936","83","POOR","1816","1816","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","1","0","3","N","N","N","N","N","","","0","0","     ","70.00"
"00000136243450000","2019","00000136243450000","CONDOMINIUM","1980","1980","39","GOOD","728","728","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","25.00"
"00000136243200000","2019","00000136243200000","CONDOMINIUM","1980","1980","39","GOOD","723","723","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","UNASSIGNED","GABLE","COMP SHINGLES","1","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","25.00"
"00000136243550000","2019","00000136243550000","CONDOMINIUM","1980","1980","39","GOOD","735","735","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","25.00"
"00000136243250000","2019","00000136243250000","CONDOMINIUM","1980","1980","39","GOOD","725","725","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","25.00"
"00000136243750000","2019","00000136243750000","CONDOMINIUM","1980","1980","39","GOOD","739","739","100.00","ONE STORY","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","1","0","1","1","N","N","N","N","N","","","0","0","     ","25.00"
"00000124507000000","2019","00000124507000000","04","1930","1930","89","FAIR","940","940","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","VINYL","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000124345000000","2019","00000124345000000","04","1936","1936","83","FAIR","1620","1620","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","2","0","0","3","N","N","N","N","N","","","0","0","     ","60.00"
"00000125536000000","2019","00000125536000000","13","1925","1925","94","FAIR","2400","2400","100.00","TWO STORIES","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","2","2","0","0","5","N","N","N","N","N","","","0","0","     ","60.00"
"00000121414000000","2019","00000121414000000","16","1999","1999","20","VERY GOOD","1806","1806","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","1","2","0","0","3","N","N","N","N","N","","","0","0","     ","15.00"
"00000125269000000","2019","00000125269000000","13","1960","1960","59","FAIR","3136","3136","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","HIP","COMP SHINGLES","0","4","4","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000136243300000","2019","00000136243300000","CONDOMINIUM","1980","1980","39","GOOD","1307","1307","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","GABLE","COMP SHINGLES","2","1","2","1","0","2","N","N","N","N","N","","","0","0","     ","25.00"
"00000138447250000","2019","00000138447250000","CONDOMINIUM","1973","1973","46","GOOD","889","889","100.00","TWO STORIES","FRAME","SLAB","CENTRAL FULL","CENTRAL FULL","NONE","BRICK VENEER","NONE","FLAT","TAR AND GRAVEL","0","1","1","1","0","2","N","N","N","N","N","","","0","0","     ","30.00"
"00000125203000000","2019","00000125203000000","04","1902","1902","117","POOR","3616","3616","100.00","TWO STORIES","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","2","2","0","0","4","N","N","N","N","N","","","0","0","     ","70.00"
"00000121405000000","2019","00000121405000000","03","1913","1913","106","FAIR","1488","1488","100.00","ONE STORY","FRAME","BLOCK","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","3","3","0","0","3","N","N","N","N","N","","","0","0","     ","60.00"
"00000125176000000","2019","00000125176000000","10","1917","1917","102","FAIR","3068","4258","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","GABLE","COMP SHINGLES","4","1","2","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000121072000100","2019","00000121072000100","13","1925","1925","94","FAIR","1288","1288","100.00","ONE STORY","FRAME","PIER AND BEAM","CENTRAL FULL","CENTRAL FULL","CHAIN","BRICK VENEER","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000118303000000","2019","00000118303000000","03","1925","1925","94","POOR","688","688","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","NONE","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","70.00"
"00000119623000000","2019","00000119623000000","04","1925","1925","94","POOR","1317","1317","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000119812000000","2019","00000119812000000","04","1919","1919","100","POOR","1606","1606","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","CHAIN","FRAME","UNASSIGNED","GABLE","COMP SHINGLES","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000118912000000","2019","00000118912000000","04","1926","1926","93","POOR","994","994","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","NONE","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000118948000000","2019","00000118948000000","04","1931","1931","88","POOR","1044","1044","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","CHAIN","FRAME","NONE","GABLE","TILE","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000119617000000","2019","00000119617000000","04","1938","1938","81","POOR","980","980","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000119464000000","2019","00000119464000000","04","1918","1918","101","POOR","1148","1148","100.00","ONE STORY","FRAME","POST","GAS HEATERS","WINDOW","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
