"ACCOUNT_NUM","APPRAISAL_YR","IMPR_VAL","LAND_VAL","LAND_AG_EXEMPT","AG_USE_VAL","TOT_VAL","HMSTD_CAP_VAL","REVAL_YR","PREV_REVAL_YR","PREV_MKT_VAL","TOT_CONTRIB_AMT","TAXPAYER_REP","CITY_JURIS_DESC","COUNTY_JURIS_DESC","ISD_JURIS_DESC","HOSPITAL_JURIS_DESC","COLLEGE_JURIS_DESC","SPECIAL_DIST_JURIS_DESC","CITY_SPLIT_PCT","COUNTY_SPLIT_PCT","ISD_SPLIT_PCT","HOSPITAL_SPLIT_PCT","COLLEGE_SPLIT_PCT","SPECIAL_DIST_SPLIT_PCT","CITY_TAXABLE_VAL","COUNTY_TAXABLE_VAL","ISD_TAXABLE_VAL","HOSPITAL_TAXABLE_VAL","COLLEGE_TAXABLE_VAL","SPECIAL_DIST_TAXABLE_VAL","CITY_CEILING_VALUE","COUNTY_CEILING_VALUE","ISD_CEILING_VALUE","HOSPITAL_CEILING_VALUE","COLLEGE_CEILING_VALUE","SPECIAL_DIST_CEILING_VALUE","VID_IND","GIS_PARCEL_ID","APPRAISAL_METH_CD","RENDITION_PENALTY","DIVISION_CD","EXTRNL_CNTY_ACCT","EXTRNL_CITY_ACCT","P_BUS_TYP_CD","BLDG_CLASS_CD","SPTD_CODE"
"00000719950000000","2019","101390.00","35000.00","0","0","136390.00","136390.00","2018","2017","122850.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","RICHARDSON ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","136390","136390","136390","136390","136390","0","","","","","","","N","00000719950000000","1","","RES","","000732601300100","","14","A11"
"00000403065240000","2019","328430.00","209000.00","0","0","537430.00","537430.00","2019","2018","537430.00",".00","607 FAIRTAX GROUP LLC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","329944","360944","413688","360944","354944","0",".00","641.62","966.88","",".00","","N","00000403065240000","1","","RES","","000545300101300","","21","A11"
"0085070J000150000","2019","110130.00","20000.00","0","0","130130.00","130130.00","2018","2017","117710.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","130130","130130","130130","130130","130130","0","","","","","","","N","0085070J000150000","1","","RES","","","","14","A11"
"00000337654000000","2019","87450.00","50000.00","0","0","137450.00","137450.00","2019","2017","109050.00",".00","994 NTH  DEGREE INC/DBA","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","137450","137450","137450","137450","137450","0","","","","","","","N","00000337654000000","2","","RES","","000476100702400","","13","A11"
"00000104398000000","2019","193740.00","73610.00","0","0","267350.00","267350.00","2019","2018","321440.00",".00","607 FAIRTAX GROUP LLC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","267350","267350","267350","267350","267350","0","","","","","","","N","00000104398000000","3","","COM","","000021100900300","","OFFICE BUILDING","F10"
"00000125920000000","2019","1000.00","380370.00","0","0","381370.00","381370.00","2019","2017","216540.00",".00","883 FAIR PLAY PROPERTY TAX","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","381370","381370","381370","381370","381370","0","","","","","","","N","00000125920000000","1","","COM","","000079900000100","","CONVERTED RESIDENCE (BRICK EXTERIOR)","A11"
"22C16260000200203","2019","91340.00","11660.00","0","0","103000.00","103000.00","2019","2018","97500.00",".00","993 CAMERON APPRAISAL GROUP","DUNCANVILLE","DALLAS COUNTY","DUNCANVILLE ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","103000","103000","103000","103000","103000","0","","","","","","","N","CONDO22C1626CONDO","2","","RES","","","","CONDOMINIUM","A13"
"008825000C0140000","2019","140000.00","35000.00","0","0","175000.00","175000.00","2019","2016","135020.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","175000","175000","175000","175000","175000","0","","","","","","","N","008825000C0140000","1","","RES","","","","14","A11"
"008825000C0240000","2019","147750.00","35000.00","0","0","182750.00","182750.00","2019","2017","134610.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","182750","182750","182750","182750","182750","0","","","","","","","N","008825000C0240000","1","","RES","","","","14","A11"
"00000628714000000","2019","94000.00","30000.00","0","0","124000.00","124000.00","2019","2017","78000.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","124000","124000","124000","124000","124000","0","","","","","","","N","00000628714000000","1","","RES","","000673500502000","","15","A11"
"00000418810000000","2019","67660.00","20000.00","0","0","87660.00","87660.00","2019","2018","77970.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","87660","87660","87660","87660","87660","0","","","","","","","N","00000418810000000","2","","RES","","000554100601400","","13","A11"
"00C06580000000101","2019","303200.00","46800.00","0","0","350000.00","350000.00","2019","2018","315000.00",".00","578 VELTMAN ARTHUR P & ASSOC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","350000","350000","350000","350000","350000","0","","","","","","","N","CONDO00C0658CONDO","1","","RES","","","","CONDOMINIUM","A13"
"00000402616000000","2019","399800.00","650000.00","0","0","1049800.00","1049400.00","2019","2018","954000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","HIGHLAND PARK ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","839520","839520","814520","839520","839520","0","","","","","","","N","00000402616000000","2","","RES","","000545000800200","","23","A11"
"00000185077000000","2019","69230.00","342300.00","0","0","411530.00","411530.00","2019","2018","363550.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","411530","411530","411530","411530","411530","0","","","","","","","N","00000185077000000","2","","RES","","000190900201900","","08","B12"
"00000195538000000","2019","325560.00","585000.00","0","0","910560.00","910560.00","2019","2017","820000.00",".00","607 FAIRTAX GROUP LLC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","910560","910560","910560","910560","910560","0","","","","","","","N","00000195538000000","1","","RES","","000202200301100","","09","A11"
"0085070G000030000","2019","108750.00","20000.00","0","0","128750.00","128750.00","2019","2018","155710.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","128750","128750","128750","128750","128750","0","","","","","","","N","0085070G000030000","1","","RES","","","","14","A11"
"00000124105000000","2019","234590.00","262010.00","0","0","496600.00","496600.00","2019","2018","459360.00",".00","607 FAIRTAX GROUP LLC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","496600","496600","496600","496600","496600","0","","","","","","","N","00000124105000000","3","","COM","","0000000000000000000000000","","OFFICE BUILDING","F10"
"00C02250000F00125","2019","116060.00","11820.00","0","0","127880.00","127880.00","2019","2018","111320.00",".00","950 WEISFELD RONALD A","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","127880","127880","127880","127880","127880","0","","","","","","","N","CONDO00C0225CONDO","2","","RES","","","","CONDOMINIUM","A13"
"120798000O0070000","2019","143660.00","35000.00","0","0","178660.00","178660.00","2019","2018","159290.00",".00","246 TX TAX PROTEST PROPERTY TAX CONSULTANTS","BALCH SPRINGS","DALLAS COUNTY","MESQUITE ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","178660","178660","178660","178660","178660","0","","","","","","","N","120798000O0070000","1","","RES","","","","16","A11"
"00000415468000000","2019","3382500.00","1317500.00","0","0","4700000.00","4685703.00","2019","2018","4259730.00",".00","945 NATIONAL REALTY CONSULTANTS","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","3748563","3748563","4192133","3748563","3748563","0","","","","","","","N","00000415468000000","1","","RES","","000551700301500","","26","A11"
"22144500120130000","2019","157000.00","25000.00","0","0","182000.00","182000.00","2019","2018","161060.00",".00","993 CAMERON APPRAISAL GROUP","DUNCANVILLE","DALLAS COUNTY","DUNCANVILLE ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","182000","182000","182000","182000","182000","0","","","","","","","N","22144500120130000","1","","RES","","","","13","A11"
"00000361546000000","2019","220050.00","375000.00","0","0","595050.00","595050.00","2018","2017","558870.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","476040","476040","510545","476040","476040","0","","","","","","","N","00000361546000000","1","","RES","","000512600801400","","15","A11"
"18006590010010000","2019","1064300.00","835700.00","0","0","1900000.00","1900000.00","2019","2018","1900000.00",".00","243 INDUSTRIAL COMPLEX PROPERTY GROUP","COPPELL","DALLAS COUNTY","COPPELL ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","1900000","1900000","1900000","1900000","1900000","0","","","","","","","N","18006590010010000","3","","COM","","","","BANK","F10"
"00000403009000000","2019","514730.00","689120.00","0","0","1203850.00","1203850.00","2019","2018","1156830.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","HIGHLAND PARK ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","963080","963080","938080","963080","963080","0","","","","","","","N","00000403009000000","2","","RES","","000545203700400","","23","A11"
"00000706461900000","2019","34660.00","49590.00","0","0","84250.00","84250.00","2019","2018","85100.00",".00","950 WEISFELD RONALD A","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","84250","84250","84250","84250","84250","0","","","","","","","N","CONDO00C3010CONDO","2","","RES","","000728900200241","","CONDOMINIUM","A13"
"00000616852000000","2019","78000.00","16000.00","0","0","94000.00","94000.00","2018","2017","49900.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","94000","94000","94000","94000","94000","0","","","","","","","N","00000616852000000","2","","RES","","000663900401000","","14","A11"
"00000195982000000","2019","419120.00","900000.00","0","0","1319120.00","1319120.00","2019","2018","1290930.00",".00","442 RAINBOLT & ALEXANDER INC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","1319120","1319120","1319120","1319120","1319120","0","","","","","","","N","00000195982000000","1","","COM","","000202600802300","","BANK","F10"
"00000196615000000","2019","19790.00","269060.00","0","0","288850.00","288850.00","2019","2018","221630.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","288850","288850","288850","288850","288850","0","","","","","","","N","00000196615000000","2","","RES","","000203701302500","","08","B12"
"00000201964000000","2019",".00","10000.00","0","0","10000.00","10000.00","2017","2014","10000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","10000","10000","10000","10000","10000","0","","","","","","","N","00000201964000000","1","","RES","","000213600600300","","LAND ONLY","C11"
"221367500E0030000","2019","101000.00","25000.00","0","0","126000.00","126000.00","2019","2018","116670.00",".00","993 CAMERON APPRAISAL GROUP","DUNCANVILLE","DALLAS COUNTY","DUNCANVILLE ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","126000","126000","126000","126000","126000","0","","","","","","","N","221367500E0030000","1","","RES","","","","14","A11"
"00000415501000000","2019","4265300.00","1534500.00","0","0","5799800.00","5799800.00","2019","2018","3396320.00","1317210.00","442 RAINBOLT & ALEXANDER INC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","4639840","4639840","5194820","4639840","4639840","0","","","","","","","N","00000415501000000","2","","RES","","000551700401000","","26","A11"
"00C03660000001101","2019","1633350.00","68730.00","0","0","1702080.00","1430000.00","2019","2018","1300000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","1144000","1144000","1262000","1144000","1144000","0","","","","","","","N","CONDO00C0366CONDO","2","","RES","","","","CONDOMINIUM","A13"
"26586800010010000","2019","2054930.00","334020.00","0","0","2388950.00","2388950.00","2019","2017","2133410.00",".00","945 NATIONAL REALTY CONSULTANTS","GARLAND","DALLAS COUNTY","GARLAND ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","2388950","2388950","2388950","2388950","2388950","0","","","","","","","N","26586800010010000","3","","COM","","","","MINI-WAREHOUSE","F10"
"00C08160000200009","2019","229850.00","99820.00","0","0","329670.00","329670.00","2019","2017","246760.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","329670","329670","329670","329670","329670","0","","","","","","","N","CONDO00C0816CONDO","1","","RES","","","","CONDOMINIUM","A13"
"00000183469000000","2019","568180.00","289120.00","0","0","857300.00","857300.00","2019","2018","827980.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","685840","685840","746570","685840","685840","0","","","","","","","N","00000183469000000","2","","RES","","000188500102300","","07","A11"
"0084740D0004B0000","2019",".00","11650.00","0","0","11650.00","11650.00","2018","2015","11650.00",".00","442 RAINBOLT & ALEXANDER INC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","11650","11650","11650","11650","11650","0","","","","","","","N","0084740D0004B0000","1","","COM","","","","LAND ONLY","C12"
"00000794606200000","2019","321280.00","335000.00","0","0","656280.00","656280.00","2018","2017","622650.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","RICHARDSON ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","425024","456024","555652","456024","450024","0",".00","929.13","6569.38","",".00","","N","00000794606200000","2","","RES","","000818100600800","","21","A11"
"12050500010170000","2019","57340.00","15000.00","0","0","72340.00","72340.00","2019","2018","49750.00",".00","069 LEWIS PROPERTY TAX SERVICES","BALCH SPRINGS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","72340","72340","72340","72340","72340","0","","","","","","","N","12050500010170000","1","","RES","","002405000","","04","A11"
"00000338608000000","2019","1000.00","50000.00","0","0","51000.00","51000.00","2019","2017","55000.00",".00","994 NTH  DEGREE INC/DBA","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","51000","51000","51000","51000","51000","0","","","","","","","N","00000338608000000","1","","RES","","000477401900300","","02","A11"
"00000343189000000","2019","531760.00","300000.00","0","0","831760.00","777711.00","2019","2017","707010.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","622169","622169","674940","622169","622169","0","","","","","","","N","00000343189000000","1","","RES","","000484900201800","","15","A11"
"00000110881000000","2019","108480.00","150000.00","0","0","258480.00","258480.00","2018","2016","315000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","258480","258480","258480","258480","258480","0","","","","","","","N","00000110881000000","3","","COM","","000047901400800","","LOFT BUILDING","F10"
"180016400G0080000","2019","354450.00","100000.00","0","0","454450.00","454450.00","2018","2016","417020.00",".00","993 CAMERON APPRAISAL GROUP","COPPELL","DALLAS COUNTY","COPPELL ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","431728","363560","429450","363560","363560","0","","","","","","","N","180016400G0080000","2","","RES","","","","18","A11"
"00000202102000000","2019","52020.00","359980.00","0","0","412000.00","412000.00","2018","2016","340000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","412000","412000","412000","412000","412000","0","","","","","","","N","00000202102000000","2","","RES","","000213800000200","","13","B12"
"00000206944000000","2019","188330.00","350230.00","0","0","538560.00","538560.00","2019","2018","490280.00",".00","246 TX TAX PROTEST PROPERTY TAX CONSULTANTS","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","538560","538560","538560","538560","538560","0","","","","","","","N","00000206944000000","1","","RES","","000222602600100","","08","A11"
"14061700060070000","2019","166000.00","55000.00","0","0","221000.00","221000.00","2019","2018","211770.00",".00","993 CAMERON APPRAISAL GROUP","CARROLLTON","DALLAS COUNTY","CARROLLTON-FARMERS BRANCH ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","221000","221000","221000","221000","221000","0","","","","","","","N","14061700060070000","2","","RES","","","","16","A11"
"00000195295000000","2019","353360.00","229320.00","0","0","582680.00","582680.00","2018","2016","442310.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","582680","582680","582680","582680","582680","0","","","","","","","N","00000195295000000","1","","RES","","000202201100800","","18","B12"
"00000412156000000","2019","686400.00","512000.00","0","0","1198400.00","1198400.00","2019","2018","1320000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","958720","958720","1053560","958720","958720","0","","","","","","","N","00000412156000000","1","","RES","","000549800800600","","24","A11"
"00000415957000000","2019","89720.00","1656450.00","0","0","1746170.00","1716924.00","2019","2017","1560840.00",".00","994 NTH  DEGREE INC/DBA","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","1273540","1304540","1475232","1304540","1298540","0",".00","2596.49","15941.37","",".00","","N","00000415957000000","1","","RES","","000551800500100","","21","A11"
